Table 2.4.5. Personal Consumption Expenditures by Type of Product
Table 2.4.5. Personal Consumption Expenditures by Type of Product
"Last Revised on: September 30, 2022"
Line,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,"            Tools and equipment for house and garden (35)",10.7,11.5,12.5,13.0,13.6,14.5,15.4,16.4,17.1,17.6,18.1,18.8,20.2,21.0,21.3,20.1,20.1,19.0,19.9,21.8,23.6,24.8,26.1,27.2,28.4,29.7,31.5,32.4,37.7,42.8
13,"        Recreational goods and vehicles",111.0,123.5,140.3,153.7,164.9,174.6,191.4,210.9,230.9,234.9,244.8,259.5,284.8,306.4,326.3,339.2,328.1,297.5,298.6,305.4,311.8,321.6,329.9,336.5,349.4,366.9,389.8,415.7,494.5,603.9
14,"            Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",59.7,66.7,76.7,84.7,91.1,96.2,106.3,117.2,127.7,128.6,134.1,141.8,158.7,174.1,188.0,199.1,195.7,180.5,182.8,188.0,190.4,193.3,196.2,194.2,198.7,212.8,228.9,250.6,297.0,356.0
15,"            Sporting equipment, supplies, guns, and ammunition (part of 80)",21.7,23.6,25.9,27.2,28.5,29.5,32.1,35.3,39.1,41.3,43.1,45.1,48.0,50.9,54.3,55.2,55.1,52.2,52.8,54.8,57.5,60.1,61.8,66.3,70.2,69.4,73.3,76.8,98.1,120.7
16,"            Sports and recreational vehicles (79)",15.9,18.0,20.4,22.5,24.1,26.0,28.7,31.8,34.9,35.4,36.5,41.0,45.9,49.1,51.4,52.4,46.3,36.4,35.8,37.3,40.7,45.0,48.3,52.0,55.5,59.5,62.1,62.9,73.5,95.0
17,"            Recreational books (part of 90)",11.5,12.8,14.6,16.4,18.1,19.7,20.9,22.7,24.4,24.7,25.9,26.5,26.9,27.0,27.2,27.1,25.7,23.7,22.6,20.5,18.3,18.1,18.4,18.5,19.4,19.4,19.4,19.2,19.4,24.0
18,"            Musical instruments (part of 80)",2.2,2.4,2.7,2.9,3.1,3.2,3.5,3.9,4.7,4.9,5.2,5.1,5.3,5.3,5.5,5.4,5.2,4.7,4.7,4.8,5.0,5.0,5.2,5.5,5.6,5.8,6.1,6.3,6.5,8.2
19,"        Other durable goods",68.0,72.0,76.5,79.6,84.3,87.3,94.2,102.7,110.4,108.4,113.4,121.7,132.1,141.0,153.5,164.8,163.0,157.7,165.0,176.1,181.9,186.7,194.0,201.6,203.0,206.4,213.9,217.3,206.4,272.6
20,"            Jewelry and watches (part of 119)",31.6,33.9,36.0,37.8,39.9,39.9,42.6,46.5,49.1,47.6,49.1,51.9,56.6,59.8,64.2,67.2,64.5,59.2,60.9,66.9,68.6,69.7,71.2,73.1,72.2,72.0,74.7,74.7,72.7,106.0
21,"            Therapeutic appliances and equipment (42)",18.1,18.9,20.4,21.0,23.0,25.3,27.8,29.7,32.2,31.8,34.0,36.5,39.7,43.2,46.9,51.6,51.2,50.6,52.4,54.3,55.0,57.0,59.0,61.7,63.7,65.6,68.7,71.9,70.7,86.2
22,"            Educational books (96)",5.6,6.1,6.5,6.8,7.0,7.3,7.9,8.6,9.0,9.2,9.7,9.9,9.9,9.8,9.7,9.4,9.6,9.5,9.8,9.7,9.5,9.5,9.6,9.7,10.1,10.1,10.1,10.0,10.1,12.5
23,"            Luggage and similar personal items (part of 119)",10.6,10.9,10.9,10.9,11.1,11.1,11.7,13.1,14.6,13.9,14.3,15.8,17.3,19.1,21.5,23.5,23.2,22.4,23.8,25.8,26.6,26.9,27.3,27.9,28.7,29.2,30.4,31.5,28.6,38.6
24,"            Telephone and related communication equipment",2.0,2.3,2.7,3.0,3.4,3.7,4.2,4.8,5.5,5.8,6.2,7.5,8.6,9.2,11.2,13.1,14.4,16.0,18.1,19.5,22.2,23.6,26.9,29.3,28.4,29.5,30.1,29.2,24.3,29.4
25,"    Nondurable goods",1055.2,1090.8,1139.4,1179.8,1241.4,1291.0,1329.1,1431.5,1540.6,1584.1,1613.4,1704.8,1821.4,1954.3,2081.3,2179.0,2264.5,2167.9,2268.9,2424.6,2493.5,2540.6,2620.9,2615.4,2646.7,2761.1,2884.5,2963.0,3023.3,3436.3
26,"        Food and beverages purchased for off-premises consumption",404.5,413.5,432.1,443.7,461.9,474.8,487.4,515.5,540.6,564.0,575.1,599.6,632.6,668.2,700.3,737.3,769.1,772.9,786.9,819.5,846.2,864.0,896.9,921.0,940.6,972.9,999.7,1030.8,1126.1,1205.0
27,"            Food and nonalcoholic beverages purchased for off-premises consumption (4)",354.6,362.4,378.3,388.3,402.8,412.8,422.1,444.9,463.1,482.2,490.4,513.6,543.0,575.3,601.6,634.7,665.8,669.2,678.6,709.1,731.6,748.3,776.2,794.9,809.7,837.6,858.5,884.2,960.7,1028.2
28,"            Alcoholic beverages purchased for off-premises consumption (5)",49.3,50.5,53.3,55.0,58.7,61.6,65.0,70.2,77.1,81.5,84.4,85.7,89.3,92.6,98.2,102.2,102.9,103.4,107.9,110.1,114.2,115.2,120.0,125.4,130.5,134.9,140.7,146.1,164.9,176.2
29,"            Food produced and consumed on farms (6)",0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6
30,"        Clothing and footwear",211.2,219.1,227.4,231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,285.3,297.4,310.5,320.0,323.5,317.4,304.0,316.6,332.6,345.2,350.5,360.8,368.7,375.7,380.4,391.3,397.8,358.4,461.3
31,"            Garments",174.4,180.9,187.3,190.1,196.4,203.2,211.1,221.9,230.0,227.2,228.0,232.7,242.3,251.4,257.0,258.7,252.8,241.6,250.8,262.8,271.7,274.6,282.3,288.0,292.3,296.2,304.4,309.0,276.2,355.6
32,"                Women's and girls' clothing (10)",103.2,106.4,108.4,108.9,111.4,113.9,119.0,126.5,132.7,132.1,133.3,136.8,143.7,149.6,153.7,155.8,150.6,143.4,149.2,156.6,162.2,163.6,168.4,171.8,174.7,177.2,182.5,184.6,163.5,211.5
33,"                Men's and boys' clothing (11)",63.0,66.1,70.1,72.2,75.8,80.0,82.2,84.6,85.9,83.2,82.4,82.8,84.5,86.3,86.7,85.3,83.9,80.5,83.7,88.2,92.0,93.4,96.1,98.0,99.4,100.7,103.4,105.7,95.2,122.8
34,"                Children's and infants' clothing (12)",8.2,8.4,8.8,9.0,9.1,9.4,10.0,10.8,11.4,11.9,12.3,13.1,14.1,15.4,16.7,17.6,18.3,17.7,18.0,18.0,17.4,17.5,17.8,18.2,18.1,18.3,18.5,18.7,17.5,21.3
35,"            Other clothing materials and footwear (13 and 17)",36.8,38.2,40.2,41.2,43.2,44.3,46.7,49.2,50.8,50.7,50.8,52.6,55.1,59.1,63.0,64.8,64.6,62.4,65.8,69.8,73.5,76.0,78.5,80.8,83.4,84.3,86.9,88.8,82.2,105.7
36,"        Gasoline and other energy goods",125.0,126.9,129.2,133.4,144.7,147.7,132.4,146.5,184.5,178.0,167.9,196.4,232.7,283.8,319.7,345.5,391.1,287.0,336.7,413.8,421.9,418.2,403.3,309.4,275.7,309.9,350.4,337.1,247.8,369.4
37,"            Motor vehicle fuels, lubricants, and fluids (59)",112.9,114.5,116.5,120.4,130.5,134.4,120.8,134.2,168.6,162.5,153.6,179.0,213.4,261.4,295.9,319.9,361.0,263.8,312.1,386.8,397.8,393.0,377.0,289.7,259.2,291.0,328.4,316.2,230.3,347.6
38,"            Fuel oil and other fuels (29)",12.1,12.4,12.7,13.0,14.3,13.2,11.6,12.4,15.9,15.5,14.3,17.4,19.4,22.3,23.7,25.6,30.1,23.2,24.6,27.0,24.1,25.3,26.3,19.7,16.5,18.9,21.9,20.9,17.5,21.8
39,"        Other nondurable goods",314.5,331.4,350.6,371.4,395.2,421.0,451.5,498.3,534.7,564.2,591.7,623.5,658.7,691.8,741.4,772.6,786.9,803.9,828.7,858.7,880.2,907.8,959.9,1016.3,1054.6,1097.9,1143.1,1197.2,1291.1,1400.5
40,"            Pharmaceutical and other medical products (40 and 41)",69.6,74.0,79.1,85.1,93.2,103.7,119.8,140.0,159.0,181.0,200.2,220.2,236.3,248.5,276.2,293.4,302.7,315.9,326.1,341.8,354.4,373.0,409.6,445.8,467.0,491.6,511.4,544.2,576.4,585.1
41,"            Recreational items (parts of 80, 92, and 93)",57.3,60.7,65.2,68.9,72.8,76.3,80.9,86.7,91.9,94.7,98.4,100.8,105.7,112.6,119.0,124.5,127.9,125.7,129.9,134.9,140.1,145.0,151.8,159.0,163.7,167.5,172.2,176.9,196.6,236.0
42,"            Household supplies (parts of 32 and 36)",58.5,62.1,66.8,70.4,74.4,77.9,79.7,83.9,86.7,89.0,90.8,94.0,97.6,102.0,105.9,106.5,107.2,105.3,108.2,112.7,116.7,119.1,122.7,126.5,130.2,135.2,140.3,145.5,162.5,181.3
43,"            Personal care products (part of 118)",41.4,43.9,47.1,50.2,53.4,56.4,59.9,64.4,68.5,71.0,73.2,77.5,82.8,88.0,93.8,99.0,102.0,101.9,106.0,110.3,113.4,116.1,120.1,125.2,128.5,132.0,136.7,140.4,145.5,167.1
44,"            Tobacco (127)",48.0,48.7,47.3,49.2,51.4,53.8,56.4,65.5,68.5,69.7,70.1,70.5,73.7,76.7,81.0,84.3,84.2,94.3,97.9,97.1,95.0,92.8,91.6,94.0,95.7,97.3,99.0,99.8,103.5,107.1
45,"            Magazines, newspapers, and stationery (part of 90)",38.8,40.9,43.8,46.1,48.2,50.2,51.9,54.3,56.6,55.0,54.8,55.1,56.8,58.0,59.1,57.7,55.0,51.8,52.2,52.4,51.7,53.9,56.2,58.5,62.4,67.3,73.0,79.1,95.5,112.8
46,"            Net expenditures abroad by U.S. residents (131)",1.0,1.1,1.3,1.6,1.7,2.7,3.0,3.4,3.5,3.8,4.3,5.5,5.8,5.9,6.4,7.3,7.9,9.0,8.4,9.6,8.9,7.9,8.0,7.3,7.0,7.0,10.5,11.5,11.1,11.1
47,Services,2634.3,2809.6,2974.4,3147.1,3326.9,3530.3,3768.8,3996.7,4314.0,4548.2,4750.1,5018.2,5329.9,5686.1,6037.6,6379.6,6686.9,6711.2,6942.4,7180.7,7409.6,7633.6,7984.8,8340.5,8701.4,9074.2,9549.8,9919.2,9446.0,10406.1
48,"    Household consumption expenditures (for services)",2546.4,2719.6,2876.6,3044.7,3216.9,3424.7,3645.0,3858.5,4156.0,4369.1,4551.8,4812.6,5123.6,5475.9,5798.4,6130.8,6399.6,6422.0,6648.0,6868.9,7068.1,7281.0,7619.2,7968.9,8300.0,8659.8,9108.3,9480.3,8942.9,9940.5
49,"        Housing and utilities",771.1,814.9,863.3,913.7,962.4,1009.8,1065.5,1123.1,1198.6,1287.5,1329.5,1391.1,1466.6,1580.1,1665.7,1759.6,1872.7,1900.0,1947.9,1983.3,2014.7,2083.5,2151.4,2206.6,2280.8,2363.6,2473.2,2572.7,2666.6,2775.4
50,"            Housing",634.5,666.4,709.5,756.1,795.4,839.2,894.2,948.6,1010.5,1085.5,1129.3,1174.1,1239.8,1329.0,1399.5,1481.4,1576.7,1609.8,1648.1,1683.0,1722.4,1775.6,1828.6,1889.4,1964.8,2037.6,2123.0,2222.5,2315.7,2400.8
51,"                Rental of tenant-occupied nonfarm housing (20)",164.0,169.1,176.1,186.6,192.0,199.2,209.0,218.2,227.9,242.3,248.2,251.8,264.1,281.7,291.5,308.8,330.1,346.3,361.1,378.3,399.5,417.1,437.1,457.5,477.5,488.5,512.7,537.4,559.0,576.3
52,"                Imputed rental of owner-occupied nonfarm housing (21)",462.6,488.5,523.7,559.4,592.9,629.5,674.3,718.9,768.9,829.2,867.1,908.2,959.3,1029.1,1089.2,1153.1,1226.9,1244.1,1267.6,1284.0,1301.7,1337.3,1369.7,1409.3,1465.7,1526.3,1586.5,1660.9,1731.7,1798.9
53,"                Rental value of farm dwellings (22)",7.2,8.1,9.0,9.4,9.8,9.6,10.0,10.6,12.7,13.1,13.2,13.3,15.4,17.1,17.7,18.3,18.4,18.1,18.0,19.2,19.4,19.4,19.8,20.6,19.8,21.0,21.9,22.1,23.0,23.6
54,"                Group housing (23)",0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.2,1.3,1.3,1.4,1.5,1.8,1.9,2.0,1.9,1.8,1.9,2.0,2.1,1.9,2.0
55,"            Household utilities",136.7,148.6,153.9,157.6,167.0,170.6,171.3,174.6,188.1,202.0,200.2,217.0,226.8,251.1,266.2,278.2,296.0,290.2,299.9,300.3,292.3,307.8,322.8,317.3,316.0,326.0,350.2,350.2,351.0,374.6
56,"                Water supply and sanitation (25)",30.3,33.5,36.7,39.3,42.1,44.1,46.2,48.7,50.4,52.4,54.6,56.6,58.7,61.3,65.5,68.0,72.4,75.0,78.5,81.4,84.7,88.0,90.6,91.6,95.2,101.3,106.1,110.1,110.2,115.8
57,"                Electricity and gas",106.4,115.1,117.2,118.3,124.9,126.6,125.1,125.8,137.6,149.6,145.6,160.4,168.1,189.9,200.7,210.2,223.6,215.2,221.4,218.9,207.6,219.8,232.2,225.7,220.8,224.7,244.1,240.1,240.7,258.8
58,"                    Electricity (27)",76.8,82.7,84.5,87.6,90.5,90.7,93.4,93.6,98.4,103.4,107.1,111.5,115.8,128.5,140.7,148.3,155.5,157.0,166.8,166.7,163.2,169.1,176.1,177.6,176.6,176.2,189.1,185.8,190.0,199.8
59,"                    Natural gas (28)",29.6,32.3,32.6,30.7,34.5,35.9,31.7,32.2,39.3,46.2,38.5,48.9,52.3,61.3,60.1,61.9,68.1,58.2,54.6,52.2,44.4,50.7,56.0,48.1,44.2,48.5,54.9,54.3,50.7,59.0
60,"        Health care",612.8,648.8,680.5,719.9,752.1,790.9,832.0,863.6,918.4,996.6,1082.9,1154.0,1238.9,1320.5,1391.9,1478.2,1555.3,1632.7,1699.6,1757.1,1821.3,1858.2,1940.5,2057.3,2159.4,2237.6,2338.1,2462.8,2339.2,2583.5
61,"            Outpatient services",282.6,297.5,314.6,336.6,351.3,369.1,390.4,407.1,436.6,475.8,514.7,550.0,589.3,624.4,650.7,686.3,724.0,748.4,774.6,802.3,829.8,841.3,877.3,926.7,981.6,1028.9,1073.9,1130.2,1074.0,1181.4
62,"                Physician services (44)",158.7,162.1,168.3,177.8,183.4,190.9,202.0,212.1,229.2,249.3,269.3,291.5,314.2,333.9,348.5,365.7,385.0,397.1,410.5,426.5,441.2,443.8,462.5,488.9,518.7,542.6,562.2,588.1,559.8,611.0
63,"                Dental services (45)",37.6,39.6,42.2,45.4,47.8,50.9,54.6,58.5,63.6,69.3,75.6,77.8,83.3,87.9,91.5,97.0,101.8,102.0,104.5,105.8,107.2,108.6,111.6,116.3,122.6,127.6,133.9,140.3,117.1,134.0
64,"                Paramedical services (46)",86.3,95.8,104.1,113.4,120.1,127.3,133.8,136.5,143.8,157.2,169.8,180.7,191.7,202.6,210.7,223.6,237.2,249.3,259.6,269.9,281.5,288.9,303.3,321.4,340.4,358.6,377.8,401.8,397.1,436.4
65,"            Hospital and nursing home services",330.1,351.4,365.9,383.3,400.8,421.8,441.6,456.5,481.8,520.8,568.2,604.1,649.6,696.1,741.2,791.9,831.4,884.3,925.0,954.9,991.5,1016.9,1063.2,1130.7,1177.8,1208.8,1264.2,1332.6,1265.2,1402.0
66,"                Hospitals (51)",277.6,295.5,307.2,318.4,330.1,345.5,360.1,373.2,393.9,427.1,469.5,498.4,537.9,577.2,617.0,658.1,689.8,736.3,769.9,797.0,830.3,853.7,895.2,957.6,998.3,1026.7,1077.4,1139.0,1079.5,1217.1
67,"                Nursing homes (52)",52.5,55.9,58.7,64.8,70.7,76.3,81.5,83.2,87.9,93.7,98.6,105.7,111.8,119.0,124.2,133.8,141.6,148.0,155.1,157.9,161.1,163.2,168.0,173.1,179.5,182.1,186.9,193.6,185.7,184.9
68,"        Transportation services",133.6,145.7,161.0,176.4,192.7,211.8,225.2,241.3,261.3,259.8,251.9,259.6,271.2,283.9,297.1,307.6,312.7,297.4,305.2,328.4,341.1,359.9,383.0,398.7,419.7,441.5,469.8,495.0,367.7,444.1
69,"            Motor vehicle services",93.1,100.8,111.9,122.6,133.4,144.8,152.0,163.6,174.4,179.1,175.8,178.3,184.1,193.6,202.2,209.5,209.6,198.7,201.0,209.7,217.5,228.2,243.7,255.9,273.9,286.5,298.5,310.6,285.0,305.5
70,"                Motor vehicle maintenance and repair (60)",73.7,77.0,82.4,86.9,90.8,93.9,99.6,105.9,112.5,118.2,120.8,126.7,131.1,136.9,138.9,143.4,140.5,133.8,136.7,144.8,148.5,152.1,159.5,163.3,173.5,180.2,187.6,196.3,183.4,195.1
71,"                Other motor vehicle services (61)",19.4,23.8,29.4,35.7,42.6,50.9,52.5,57.8,61.9,60.9,54.9,51.6,53.0,56.7,63.3,66.1,69.2,64.9,64.3,64.9,68.9,76.1,84.2,92.6,100.4,106.3,111.0,114.3,101.6,110.5
72,"            Public transportation",40.5,45.0,49.1,53.8,59.3,67.0,73.1,77.7,86.9,80.7,76.1,81.3,87.1,90.2,94.9,98.1,103.0,98.6,104.2,118.7,123.6,131.7,139.3,142.7,145.8,155.0,171.2,184.3,82.7,138.5
73,"                Ground transportation (63)",14.8,15.4,16.1,16.7,17.4,18.1,20.1,21.3,22.9,24.7,24.6,25.3,27.8,29.6,32.4,33.3,34.4,33.9,34.6,37.6,38.8,41.8,44.8,47.8,50.1,53.6,59.6,59.7,31.3,40.2
74,"                Air transportation (64)",25.6,29.2,32.3,36.1,40.4,47.2,51.0,54.3,61.8,53.6,49.3,53.6,56.7,58.1,59.8,62.0,65.9,62.3,66.9,78.6,82.1,87.2,91.5,91.8,92.4,97.9,107.7,120.4,48.9,95.3
75,"                Water transportation (65)",0.1,0.3,0.6,1.1,1.5,1.8,2.0,2.1,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.8,2.8,2.4,2.6,2.4,2.6,2.7,2.9,3.2,3.3,3.6,3.9,4.2,2.6,3.0
76,"        Recreation services",139.8,153.4,164.7,181.1,195.6,208.3,220.2,238.1,254.4,262.3,271.4,288.9,311.5,328.1,351.3,375.6,389.1,388.4,403.7,409.0,430.8,447.1,466.6,491.7,518.6,541.4,562.9,582.4,439.6,528.5
77,"            Membership clubs, sports centers, parks, theaters, and museums (82)",57.4,61.2,64.2,69.5,74.6,79.0,83.3,87.3,91.9,94.3,97.5,103.8,110.3,117.9,127.2,137.3,141.8,141.2,146.1,147.2,153.7,160.1,168.1,177.7,188.2,199.1,209.4,218.6,115.2,142.7
78,"            Audio-video, photographic, and information processing equipment services (parts of 77 and 93)",42.6,46.0,46.5,50.0,52.8,55.5,60.0,65.5,70.1,72.7,73.4,75.9,80.9,81.1,84.3,89.7,95.5,100.4,106.4,107.8,116.3,120.7,125.7,134.1,142.1,143.5,145.1,149.5,148.9,161.3
79,"            Gambling (91)",28.1,33.3,39.6,45.4,50.3,54.5,55.9,62.3,67.6,70.0,74.1,81.1,89.9,96.1,104.1,109.3,110.7,107.2,109.4,111.5,115.5,119.0,121.9,125.7,129.5,134.2,140.1,140.9,111.1,152.6
80,"            Other recreational services (81, 94, and part of 92)",11.7,12.9,14.3,16.1,17.9,19.3,21.0,22.9,24.8,25.3,26.4,28.0,30.4,33.0,35.7,39.3,41.0,39.6,41.9,42.6,45.4,47.3,51.0,54.3,58.8,64.7,68.3,73.4,64.4,72.0
81,"        Food services and accommodations",286.3,298.4,308.3,316.1,326.6,343.4,361.8,380.3,408.8,419.7,436.3,462.7,498.2,533.6,570.6,601.5,620.2,612.7,635.7,669.5,704.9,732.3,776.9,832.9,873.2,915.6,964.0,1009.6,813.5,1060.9
82,"            Food services",254.1,265.7,273.4,279.6,286.7,298.5,314.6,330.5,353.8,367.6,383.1,404.6,432.1,458.1,486.3,509.6,523.9,520.0,537.1,563.9,591.5,613.2,648.6,696.5,731.1,767.1,808.4,848.8,731.6,929.3
83,"                Purchased meals and beverages (102)",247.1,258.4,265.9,271.8,278.7,290.3,306.2,321.8,344.9,358.4,373.6,394.4,421.2,446.0,472.3,494.9,508.9,504.4,521.8,547.1,574.4,595.9,630.7,677.5,710.8,746.1,786.4,826.1,711.2,907.5
84,"                Food furnished to employees (including military) (103)",7.1,7.3,7.5,7.8,8.0,8.2,8.4,8.7,8.9,9.1,9.5,10.2,10.9,12.1,13.9,14.7,15.0,15.6,15.3,16.8,17.1,17.4,17.9,18.9,20.3,21.0,22.0,22.7,20.3,21.9
85,"            Accommodations (104)",32.2,32.7,34.9,36.6,39.9,44.9,47.2,49.8,55.0,52.1,53.3,58.1,66.2,75.5,84.3,91.9,96.3,92.7,98.6,105.6,113.4,119.0,128.3,136.4,142.1,148.5,155.6,160.8,82.0,131.6
86,"        Financial services and insurance",277.0,314.0,327.9,347.0,372.1,408.9,446.1,484.6,541.9,529.3,539.0,574.2,619.3,676.8,719.5,762.7,777.5,720.5,768.0,811.1,830.9,869.3,922.9,974.4,996.1,1064.8,1145.5,1142.3,1170.6,1275.0
87,"            Financial services",143.7,166.1,178.8,193.5,213.5,239.5,265.6,295.1,335.7,317.6,323.8,343.2,371.4,404.7,441.5,474.5,491.3,452.2,479.0,506.1,534.3,562.4,585.4,622.1,640.7,675.8,715.2,725.7,750.3,837.2
88,"                Financial services furnished without payment (107)",81.5,93.6,105.0,111.6,119.5,132.1,140.6,146.2,161.0,154.6,155.6,169.2,184.9,203.3,217.2,230.8,233.5,204.4,226.0,233.1,236.1,249.6,263.3,298.2,312.9,338.5,359.6,358.6,368.8,401.4
89,"                Financial service charges, fees, and commissions (108)",62.3,72.4,73.8,81.9,94.0,107.4,125.0,148.9,174.6,163.1,168.2,174.0,186.5,201.4,224.3,243.8,257.8,247.8,253.0,273.0,298.1,312.8,322.2,323.9,327.9,337.3,355.5,367.1,381.5,435.9
90,"            Insurance",133.3,147.9,149.1,153.5,158.5,169.4,180.5,189.5,206.3,211.7,215.3,231.0,248.0,272.2,278.0,288.2,286.1,268.3,289.0,304.9,296.7,306.9,337.5,352.4,355.4,389.0,430.3,416.7,420.3,437.7
91,"                Life insurance (110)",53.6,59.2,54.6,54.3,52.0,55.2,56.0,56.9,65.0,61.9,58.8,60.4,72.1,79.0,84.1,87.5,86.7,78.0,78.3,82.3,81.7,82.1,85.8,88.3,74.8,92.0,94.9,92.2,90.7,92.7
92,"                Net household insurance (111)",2.3,2.3,2.5,2.6,2.9,2.9,3.4,3.6,3.8,4.2,4.3,4.9,5.8,6.2,6.1,7.4,7.9,7.1,7.3,7.5,7.4,8.0,9.2,9.9,10.3,10.5,10.4,11.0,11.4,11.8
93,"                Net health insurance (112)",50.1,56.0,59.3,62.0,66.9,73.5,80.8,85.7,94.4,101.1,106.5,116.7,116.5,129.4,130.6,131.3,129.1,122.4,143.0,153.3,145.8,153.8,176.5,186.0,199.2,213.9,247.6,230.7,237.5,250.9
94,"                Net motor vehicle and other transportation insurance (116)",27.3,30.4,32.8,34.5,36.7,37.8,40.4,43.2,43.1,44.4,45.7,49.1,53.5,57.6,57.2,62.0,62.4,60.8,60.3,61.8,61.7,63.0,66.0,68.2,71.1,72.7,77.3,82.7,80.7,82.2
95,"        Other services",325.7,344.3,371.0,390.6,415.5,451.5,494.2,527.4,572.6,614.0,640.8,682.1,717.9,752.8,802.3,845.7,872.1,870.3,887.9,910.6,924.4,930.7,977.7,1007.3,1052.1,1095.2,1154.9,1215.5,1145.6,1273.2
96,"            Communication",79.1,83.5,90.6,95.9,104.9,116.4,124.6,135.4,148.3,153.2,154.8,157.6,162.5,168.1,179.3,189.9,199.6,196.8,202.6,208.6,210.3,213.8,227.1,230.6,239.7,236.9,243.3,247.0,249.2,266.3
97,"                Telecommunication services (71)",71.0,75.0,81.3,85.2,92.8,103.1,110.0,117.6,126.4,131.2,131.3,130.4,132.8,137.7,144.8,149.0,152.2,146.4,147.6,149.6,146.3,146.0,153.0,152.9,155.9,151.7,158.1,159.7,158.8,169.3
